# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\simon.png	255	0	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
30	textures\enemy.png	3	26	110
40	textures\objects.png	255	0	255
50	textures\items.png	255	0	255
60	textures\Objectsub.png	116	116	116

# id	left	top	right	bottom	texture_id	isFlipImage	position(x)	position(y)
[SPRITES]
#===============SIMON========================
#IDLE RIGHT
10001	105	8	121	39	0		1		0		0		
#WALK RIGHT
10002	105	8	121	39	0		1		0		0
10003	132	8	147	39	0		1		0		0
10004	160	8	176	39	0		1		0		0
10005	132	8	147	39	0		1		0		0
#IDLE LEFT
10011	105	8	121	39	0		0		0		0
#WALK LEFT
10012	105	8	121	39	0		0		0		0
10013	132	8	147	39	0		0		0		0
10014	160	8	176	39	0		0		0		0
10015	132	8	147	39	0		0		0		0
#ATTACK RIGHT
10021	100	52	130	83	0		1		-8		0
10022	148	52	178	83	0		1		-8		0
10023	198	52	228	83	0		1		-8		0
#ATTACK LEFT
10031	100	52	130	83	0		0		-6		0
10032	148	52	178	83	0		0		-6		0
10033	198	52	228	83	0		0		-6		0
#SIT RIGHT
10041	187	15	204	39	0		1		0		0
#SIT LEFT
10051	187	15	204	39	0		0		0		0
#SIT ATTACK RIGHT
10061	350	129	375	153	0		1		-8		0
10062	325	120	343	154	0		1		-1		0
10063	293	130	314	153	0		1		0		0
#SIT ATTACK LEFT
10071	350	129	375	153	0		0		0		0
10072	325	120	343	154	0		0		0		0
10073	293	130	314	153	0		0		-4		0
#EAT ITEM RIGHT
10081	126	99	143	129	0		1		1		0
10082	150	99	166	129	0		1		0		0
10083	173	99	189	129	0		1		0		0	
#EAT ITEM LEFT
10091	126	99	143	129	0		0		-2		0
10092	150	99	166	129	0		0		0		0
10093	173	99	189	129	0		0		0		0
#SIMON GO UP STAIR
#UP LEFT
11101	254	8	274	39	0		0		0		0
11102	132	8	147	39	0		0		0		0
#UP RIGHT
11103	254	8	274	39	0		1		0		0
11104	132	8	147	39	0		1		0		0
#UP ATTACK LEFT
11111	256	52	283	82	0		0		0		0
11112	304	52	323	82	0		0		0		0
11113	347	52	373	82	0		0		0		0
#UP ATTACK RIGHT
11114	256	52	283	82	0		1		-7		0
11115	304	52	323	82	0		1		0		0
11116	347	52	373	82	0		1		0		0
#SIMON GO DOWN STAIR
#DOWN LEFT
11201	230	8	248	39	0		0		0		0
11202	132	8	147	39	0		0		0		0
#DOWN RIGHT
11203	230	8	248	39	0		1		0		0
11204	132	8	147	39	0		1		0		0
#DOWN ATTACK LEFT
11211	257	91	282	121	0		0		0		0
11212	305	91	323	121	0		0		0		0
11213	348	91	373	121	0		0		-5		0
#DOWN ATTACK RIGHT
11214	257	91	282	121	0		1		0		0
11215	305	91	323	121	0		1		0		0
11216	348	91	373	121	0		1		0		0
#SIMON COLLISION WITH ENEMY
#LEFT
11501	289	8	307	39	0		0		0		0
#RIGHT
11502	289	8	307	39	0		1		0		0

#===============BRICK==============
20001	408	240	424	241	20		0		0		0
#brick with question mark animation
40001	300	117	316	133	20		0		0		0
40002	318	117	334	133	20		0		0		0
40003	336	117	352	133	20		0		0		0
40004	355	117	370	133	20		0		0		0

#===============Whip===============
#Whip 0 Right
10101	83	9	91	33	0		1		-14		0
10102	59	14	74	33	0		1		-13		-7
10103	27	19	52	26	0		1		22		-17
#Whip 0 Left
10111	83	9	91	33	0		0		17		0
10112	59	14	74	33	0		0		17		-7
10113	27	19	52	26	0		0		-30		-17

#Whip 1 Right
10201	82	38	91	62	0		1		-14		0
10202	62	39	74	59	0		1		-13		-7
10203	32	43	56	50	0		1		22		-17
#Whip 1 Left
10211	82	38	91	62	0		0		18		0
10212	62	39	74	59	0		0		18		-3
10213	32	43	56	50	0		0		-30		-17

#Whip 2 Right
10301	83	67	92	92	0		1		-14		0
10302	58	70	74	91	0		1		-13		-7
10303	12	75	55	82	0		1		22		-15
#Whip 2 Left
10311	83	67	92	92	0		0		18		0
10312	58	70	74	91	0		0		18		-3
10313	12	75	55	82	0		0		-43		-17

#=================TORCH===============
11001	47	25	64	56	40		0		0		0
11002	74	23	91	56	40		0		0		0


#=================HEART===============
12001	123	58	136	69	50		0		0		0

#=================SMALL HEART===============
12011	125	39	134	47	50		0		0		0

#=================DAGGER===============
13001	176	39	195	48	50		0		0		0
#Left
13011	176	39	195	48	50		1		0		0

#=================WHIP UPGRADE===============
18001	43	42	61	60	50		0		0		0

#=================MONEY BAG===============
20011	376	44	392	56	50		0		0		0

20026	315	38	330	52	50		1		0		0

#=================FIRE DESTROY===============
19001	14	78	23	89	40		0		5		-20
19002	33	77	38	89	40		0		5		-15
19003	43	78	49	89	40		0		5		-15
19004	45	78	64	89	40		0		2		-15

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== SIMON =========
#IDLE RIGHT
100	10001	100
#IDLE LEFT
101	10011	100
#WALK RIGHT
102	10002	100	10003	100	10004	100	10005	100
#WALK LEFT
103	10012	100	10013	100	10014	100	10015	100
#ATTACK RIGHT
104	10021	100	10022	100	10023	100
#ATTACK LEFT
105	10031	100	10032	100	10033	100
#SIT RIGHT
106	10041	100
#SIT LEFT
107	10051	100
#SIT ATTACK RIGHT
108	10061	100	10062	100	10063	100
#SIT ATTACK lEFT
109	10071	100	10072	100	10073	100
#EAT ITEM RIGHT
141	10081	100	10082	100	10083	100
#EAT ITEM lEFT
142	10091	100	10092	100	10093	100
#GO UP STAIR
#UP LEFT
201	11101	100	11102	100
#UP RIGHT
202	11103	100	11104	100
#UP ATTACK LEFT
203	11111	100	11112	100	11113	100
#UP ATTACK RIGHT
204	11114	100	11115	100	11116	100
#GO DOWN STAIR
#DOWN LEFT
205	11201	100	11202	100
#DOWN RIGHT
206	11203	100	11204	100
#DOWN ATTACK LEFT
207	11211	100	11212	100	11213	100
#DOWN ATTACK RIGHT
208	11214	100	11215	100	11216	100
#IDLE_STAIR
#UP LEFT
209	11101	100
#UP RIGHT
210	11103	100
#DONW LEFT
211	11201	100
#DOWN RIGHT
212	11203	100
#COLLSION ENEMY
#LEFT
213	11501	100
#RIGHT
214	11502	100

# ==== BRICK =========
601	20001	100
# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100

# ==== WHIP =========
#WHIP SIMPLE RIGHT
111	10101	100	10102	100	10103	100
#WHIP SIMPLE LEFT
112	10111	100	10112	100	10113	100
#WHIP 1 RIGHT
121	10201	100	10202	100	10203	100
#WHIP 1 LEFT
122	10211	100	10212	100	10213	100
#WHIP 2 RIGHT
131	10301	100	10302	100	10303	100
#WHIP 2 LEFT
132	10311	100	10312	100	10313	100

# id	ani1	ani2	ani3

# ==== TORCH =======
501	11001	100	11002	100

# ==== HEART =======
701	12001	100

# ==== SMALL HEART =======
702	12011	100

# ==== DAGGER =======
703	13001	100

# ==== WHIP UPGRADE =======
801	18001	100

# ==== FIRE DESTROY =======
901	19001	100	19002	100	19003	100	19004	100

# ==== MONEY BAG =======
704	20011	100

# ==== WEAPON ========
#DAGGER LEFT
1001	13011	100

[ANIMATION_SETS]
# SIMON
1	100	101	102	103	104	105	106	107	108	109	141	142	201	202	203	204	205	206	207	208	209	210	211	212	213	214
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602
# WHIP
3	111	112	121	122	131	132

# TORCH
5	501	901
# HEART
6	701
# WHIP UPGRADE
7	801

# SMALL HEART
10	702
